Vehicle,Country,BR,WinRate,Games,Victories,Defeats,BattleType,UnitClass,UnitMoveType
ussr_t_80um2,Ussr,11.3,0.43475050374838864,149898,34737,45164,GRB,exp_tank,tank
ta-152h-1,Germany,6.0,0.4341835055101817,129797,27697,36094,ARB,exp_fighter,air
ussr_t_62m1,Ussr,9.0,0.4764821653656487,549539,150829,165718,GRB,exp_tank,tank
p-51c-10_france,France,3.7,0.6455391695429349,22652,6172,3389,ARB,exp_fighter,air
il_28sh,Ussr,8.0,0.49709954008643603,110888,21509,21760,ARB,exp_bomber,air
scimitar_f1,Britain,8.7,0.5876380477377984,63333,19794,13890,ARB,exp_fighter,air
tu-2_postwar_late,Ussr,5.7,0.5811918531556449,117440,23114,16656,ARB,exp_bomber,air
spitfire_ix,Britain,5.7,0.6057420555593851,42116,17575,11439,ARB,exp_fighter,air
yak-15,Ussr,6.7,0.5250898986596927,28281,6425,5811,ARB,exp_fighter,air
ussr_ya_5m,Ussr,1.3,0.42743682310469316,5184,592,793,NRB,exp_gun_boat,fast_ship
germ_marder_df_105,Germany,8.0,0.3756270545776241,685011,149459,248433,GRB,exp_tank,tank
uk_fv4004_conway,Britain,7.0,0.47702462022001046,102459,22766,24959,GRB,exp_tank_destroyer,tank
uk_destroyer_battle_cadiz,Britain,4.7,0.5275590551181102,2784,603,540,NRB,exp_destroyer,ship
us_destroyer_sumner,Usa,5.0,0.47438464256271345,39574,8056,8926,NRB,exp_destroyer,ship
us_destroyer_somers,Usa,5.3,0.4802383150121675,35948,5723,6194,NRB,exp_destroyer,ship
us_destroyer_porter_1941,Usa,5.3,0.47577458931170724,37374,6864,7563,NRB,exp_destroyer,ship
us_cruiser_atlanta_class_atlanta,Usa,5.7,0.4693302733152514,25096,4499,5087,NRB,exp_cruiser,ship
ussr_t_72b_1989,Ussr,10.3,0.42856813124924986,424817,92839,123787,GRB,exp_tank,tank
ussr_9p149,Ussr,8.7,0.4540635801965107,378250,66731,80233,GRB,exp_tank_destroyer,tank
ka_52,Ussr,12.0,0.4342180833606826,397398,63507,82749,GRB,exp_helicopter,helicopter
yak-9u,Ussr,4.7,0.5279992723524239,64485,17415,15568,ARB,exp_fighter,air
saab_a21rb,Sweden,6.7,0.5165370839521272,104403,29564,27671,ARB,exp_fighter,air
saab_aj37,Sweden,10.3,0.5162368380894247,135576,33829,31701,ARB,exp_assault,air
mig-9_ussr,Ussr,7.3,0.514458826769485,40273,9340,8815,ARB,exp_fighter,air
ussr_object_775,Ussr,9.3,0.44787538021937506,367677,77744,95840,GRB,exp_tank_destroyer,tank
sw_patria_amv_ctcv_105,Sweden,10.0,0.5048135943658332,183258,46878,45984,GRB,exp_tank,wheeled_vehicle
uk_battlecruiser_renown,Britain,7.0,0.4983232729711603,4323,743,748,NRB,exp_cruiser,ship
uk_m109a1,Britain,6.3,0.467925005532897,200695,44400,50487,GRB,exp_tank_destroyer,tank
uk_vickers_mbt_mk_3,Britain,8.3,0.5329035366836425,246248,64144,56223,GRB,exp_tank,tank
uk_olifant_mk_1a,Britain,8.3,0.5441162215867784,164257,44907,37625,GRB,exp_tank,tank
il_28_german,Germany,8.0,0.48922808947561425,131839,32019,33429,ARB,exp_bomber,air
me-163b-0,Germany,8.3,0.5316035895435037,9900,2725,2401,ARB,exp_fighter,air
germ_sk105_a2,Germany,8.7,0.41240325214797985,205684,46463,66201,GRB,exp_tank,tank
mirage_2000c_s4,France,12.3,0.6260973444538211,102566,57127,34116,ARB,exp_fighter,air
lynx_ah_mk1,Britain,10.7,0.540914747977598,17276,3477,2951,ARB,exp_helicopter,helicopter
a5m4,Japan,1.3,0.5194122694122694,18264,4843,4481,ARB,exp_fighter,air
i-153_m62_china,China,2.3,0.508301404853129,36003,9552,9240,ARB,exp_fighter,air
p1y1_mod11_china,China,3.3,0.5332981371144129,29640,7071,6188,ARB,exp_bomber,air
saab_ja37,Sweden,11.3,0.5930530818853486,126440,69593,47754,ARB,exp_fighter,air
uk_rooikat_mttd,Britain,9.3,0.5187239765174438,264791,80230,74438,GRB,exp_tank,wheeled_vehicle
ki_102_otsu,Japan,3.3,0.5539452495974235,26791,7568,6094,ARB,exp_fighter,air
jp_type_60_sprg,Japan,6.7,0.5022385093748539,321153,85931,85165,GRB,exp_tank_destroyer,tank
mig_21_bis_finland,Sweden,11.0,0.5354702014133819,97500,41447,35956,ARB,exp_fighter,air
g4m1,Japan,2.7,0.5258946432540564,30737,7098,6399,ARB,exp_bomber,air
j9_early,Sweden,2.3,0.5716436637390213,8586,2278,1707,ARB,exp_fighter,air
j6k1,Japan,6.7,0.581593625498008,23774,7299,5251,ARB,exp_fighter,air
cn_isu_122,China,5.3,0.4738017451718291,51843,11457,12724,GRB,exp_tank_destroyer,tank
meteor_fmk4_sw,Britain,8.0,0.5696250956388677,5192,1489,1125,ARB,exp_fighter,air
saab_ja37d,Sweden,12.0,0.5522063815342838,33021,16268,13192,ARB,exp_fighter,air
a6m5hei,Japan,5.0,0.6045300387596899,13025,4991,3265,ARB,exp_fighter,air
